#{"t_start": 1741099066.85296, "env_id": "None"}
r,l,t
-776.742029,68,1.996504
-728.34793,29,2.195952
-709.556484,55,2.607365
-681.359101,38,2.817567
-705.389712,39,3.106025
-704.364229,33,3.290294
-717.584263,33,3.488281
-710.030835,33,3.705384
-668.644441,27,3.89581
-705.567754,25,4.038454
-693.088099,43,4.339961
-564.430992,32,4.532383
-702.959055,32,4.74133
-629.889702,24,4.978551
-611.318149,22,5.159439
-703.100157,36,5.448879
-600.590746,23,5.620871
-627.934921,22,5.786111
-599.099264,25,5.977199
-563.419375,25,6.187415
-714.446294,36,6.514981
-626.159356,25,6.747788
-636.372888,23,6.999045
-708.766847,17,7.138776
-662.868284,16,7.27106
-726.067688,13,7.382662
-709.887015,22,7.571681
-669.705035,32,7.855308
-677.006259,19,8.018933
-695.356681,27,8.267001
-619.978306,22,8.505966
-611.26346,22,8.705854
-673.753168,23,8.939637
-647.499544,16,9.102481
-622.234241,20,9.293969
-688.340884,21,9.446701
-648.628292,23,9.658873
-628.895453,24,9.878356
-662.586722,20,10.050692
-684.529364,20,10.23822
-644.835507,18,10.378218
-577.611615,32,10.68234
-664.91474,21,10.862334
-669.622864,18,11.014335
-649.55561,25,11.269611
-630.551851,20,11.479321
-662.547983,16,11.610511
-577.85947,21,11.802598
-627.856139,20,11.984852
-636.003695,23,12.249621
-616.710019,20,12.539843
-686.992561,17,12.783575
-613.838447,17,13.014126
-622.349126,21,13.363127
-697.849109,16,13.562727
-670.438717,23,13.856647
-686.735578,21,14.064616
-628.46243,21,14.338324
-634.313988,23,14.622054
-581.21458,17,14.832943
-599.662348,23,15.153759
-669.185485,19,15.423698
-620.5001,17,15.623687
-670.284598,18,15.841485
-658.281981,19,16.080542
-606.07202,21,16.341167
-617.132901,17,16.575011
-613.762998,18,16.813129
-602.522955,22,17.071407
-706.420705,14,17.244209
-612.775356,18,17.515499
-646.055273,20,17.745743
-672.924445,18,17.975925
-623.241759,20,18.261242
-558.060262,21,18.553563
-641.532709,18,18.828974
-628.340602,19,19.117144
-630.450064,16,19.329351
-653.984363,16,19.59239
-629.857004,19,19.827213
-733.734728,19,20.053232
-631.648988,18,20.26922
-691.632376,17,20.475772
-656.275766,17,20.680185
-623.855502,21,20.962124
-620.693106,22,21.249628
-533.923645,24,21.630696
-531.289451,23,21.916298
-677.78279,21,22.215883
-645.417074,17,22.445305
-600.390854,18,22.661853
-569.704493,18,22.872411
-657.112901,16,23.075948
-669.295013,16,23.274402
-610.508468,20,23.532668
-610.592111,20,23.804231
-620.645112,21,24.060159
-678.65736,16,24.265147
-642.692576,17,24.488483
-721.349003,19,24.723379
-577.602438,19,24.99942
-663.486388,19,25.301985
-596.274604,21,25.58442
-631.335286,16,25.771837
-691.20518,17,26.010801
-683.913861,19,26.226881
-639.775256,21,26.380319
-698.122645,16,26.48928
-671.006459,20,26.654785
-632.171159,18,26.775786
-606.620965,18,26.919358
-635.454536,19,27.08523
-638.403752,19,27.229509
-637.875129,17,27.389283
-726.786331,18,27.518497
-638.803612,19,27.659232
-601.828119,19,27.780768
-607.104471,17,27.894106
-627.661547,17,28.00146
-606.243601,19,28.121567
-682.048657,18,28.24119
-618.118218,19,28.370157
-580.235001,18,28.488101
-686.758307,20,28.626733
-623.561664,24,28.846872
-638.245716,16,28.970144
-693.534548,18,29.092103
-702.920753,17,29.224163
-625.589173,18,29.363346
-660.63246,19,29.517458
-688.9034,13,29.61553
-621.939759,25,29.821486
-610.728188,18,29.957156
-599.751011,18,30.082928
-674.51252,15,30.220447
-598.688885,20,30.435836
-672.195921,16,30.569267
-639.581856,18,30.742392
-693.698176,16,30.869669
-589.974049,19,31.033655
-665.009287,21,31.211681
-593.248484,19,31.386743
-574.811261,26,31.601151
-614.843301,18,31.738839
-592.607034,18,31.883122
-684.53204,16,32.064826
-742.150282,14,32.217442
-714.964575,15,32.393205
-506.037099,25,32.70463
-619.236813,16,32.879233
-681.634458,20,33.125529
-633.125414,15,33.293867
-631.359334,16,33.475081
-671.05996,15,33.642871
-694.018116,14,33.830247
-691.774358,18,34.028293
-687.17729,15,34.189113
-661.092133,16,34.371401
-677.476102,16,34.570119
-687.638011,15,34.746374
-690.134049,15,34.920754
-640.722002,18,35.158794
-688.507085,19,35.422932
-661.366044,18,35.687672
-652.508778,18,35.920386
-576.221233,19,36.190838
-646.663485,16,36.38205
-700.443632,17,36.599842
-688.457614,18,36.840938
-601.89581,20,37.092472
-654.578416,16,37.309413
-679.522934,17,37.558221
-657.605856,17,37.769808
-618.803989,20,38.008214
-667.469399,17,38.262224
-630.845251,19,38.462723
-636.974532,21,38.699636
-571.534983,20,38.911215
-585.408439,22,39.176066
-634.700437,18,39.396763
-637.799511,17,39.592491
-711.736951,17,39.791061
-603.015515,19,40.011764
-663.834077,18,40.229016
-669.188694,18,40.506639
-628.456257,18,40.724598
-640.285707,17,40.95545
-639.404869,16,41.174506
-591.92325,19,41.4123
-678.922147,18,41.629889
-668.932948,16,41.822705
-618.284904,19,42.064135
-654.662106,16,42.283917
-655.89857,21,42.543015
-697.094321,18,42.813339
-656.230042,22,43.134233
-615.57969,18,43.383246
-598.469449,22,43.67636
-649.805494,17,43.894516
-672.12203,16,44.1027
-653.632634,20,44.288364
-710.64235,13,44.377256
-635.851535,16,44.483311
-686.264379,17,44.623983
-656.846744,22,44.776247
-652.036077,19,44.914947
-612.164084,18,45.032039
-656.858958,17,45.134282
-595.647515,17,45.24135
-591.006557,20,45.368133
-671.324619,21,45.513122
-660.42582,17,45.613415
-608.971821,20,45.742665
-653.842142,26,45.916439
-680.351525,14,46.005789
-623.650085,17,46.111325
-641.751548,16,46.248508
-623.591625,18,46.361663
-664.31608,19,46.499515
-604.030766,19,46.638992
-618.569186,17,46.777708
-665.444134,17,46.912153
-652.132204,16,47.011257
-680.999395,18,47.173683
-656.95739,15,47.35317
-656.033065,16,47.553101
-721.699582,15,47.781357
-661.838551,18,48.052852
-655.249712,20,48.299577
-688.233592,14,48.483418
-571.630845,19,48.722173
-611.399159,17,48.936507
-612.49768,18,49.167111
-630.153425,17,49.377896
-600.100321,19,49.618736
-735.911838,13,49.775579
-593.356561,18,50.016588
-660.758993,15,50.195759
-675.664339,15,50.364636
-755.710388,15,50.547045
-706.975077,18,50.791795
-669.342957,20,51.046615
-619.314006,18,51.263778
-666.814746,15,51.454766
-666.861392,18,51.693438
-635.915352,19,51.931544
-685.148309,15,52.165765
-716.010304,16,52.37352
-660.70089,15,52.548101
-649.250853,22,52.837272
-609.705142,18,53.0528
-663.5295,15,53.23589
-683.247169,14,53.417717
-671.5867,23,53.780271
-604.754654,21,54.064134
-611.031935,20,54.40218
-640.567186,17,54.59703
-651.886741,18,54.78981
-622.807725,19,55.008585
-607.405536,19,55.233924
-628.888558,23,55.510634
-604.039555,21,55.735832
-650.589108,16,55.926376
-572.319688,19,56.180665
-649.265009,16,56.366916
-697.164132,21,56.634061
-654.40017,20,56.869618
-656.345858,15,57.060698
-653.466601,16,57.266831
-681.788747,21,57.541669
-705.505038,15,57.744076
-669.116445,15,57.925442
-554.334171,21,58.224613
-629.135232,22,58.514189
-679.220663,17,58.739165
-626.306271,19,58.965196
-635.64889,18,59.180145
-621.549058,19,59.42512
-748.153126,18,59.634552
-658.640147,18,59.847903
-587.946839,19,60.090864
-678.005084,15,60.345817
-620.570693,18,60.595859
-614.107368,18,60.797811
-746.64984,14,60.961409
-635.46447,16,61.142775
-688.243443,15,61.336781
-708.939276,16,61.531259
-684.373682,16,61.740561
-614.839496,17,61.945836
-625.587057,18,62.216523
-703.223595,14,62.308252
-534.97069,22,62.445976
-650.915697,17,62.544186
-612.714555,18,62.662032
-628.773761,17,62.77071
-611.093674,17,62.87321
-602.574822,18,62.983108
-636.098483,17,63.090909
-608.376066,22,63.231331
-705.210792,15,63.338092
-681.676284,14,63.453943
-631.473476,16,63.583657
-686.322782,15,63.738621
-631.083237,17,63.852593
-696.812587,21,64.022812
-620.937706,19,64.168586
-636.897764,18,64.304963
-618.515441,17,64.418008
-676.598558,15,64.549504
-682.655161,15,64.697523
