#{"t_start": 1742992215.499306, "env_id": "None"}
r,l,t
-1689.487701,171,2.390207
-1789.633966,137,3.22618
-1709.538185,61,3.581898
-192.933067,60,3.915904
-2135.940072,53,4.228879
-118.817311,38,4.422622
-1995.572837,56,4.755334
-1680.405666,58,5.125786
-422.999079,53,5.460603
-1648.611965,42,5.740299
-1664.883853,67,6.261671
-1824.992707,59,6.718314
-844.961872,62,7.316549
-772.964531,58,7.74954
-1680.876321,52,8.211852
-1781.858048,65,8.737808
135.233819,89,9.328266
76.844359,38,9.623636
75.86363,61,10.037744
-1670.684353,57,10.454202
159.2192,26,10.657479
-173.915643,50,11.057447
-1906.839912,58,11.485961
-1655.923228,115,12.472624
131.768195,26,12.680181
-1761.510894,52,13.144227
127.908673,101,13.917115
133.837853,74,14.46195
48.633424,48,14.841024
-1726.78254,65,15.28913
119.51595,25,15.441257
-1642.066638,48,15.768167
108.123676,48,16.00331
108.869617,29,16.180045
106.2364,39,16.431292
-1835.248243,90,17.034147
-1634.613145,47,17.397426
72.408782,22,17.562824
67.935175,53,18.048565
146.342396,44,18.433865
112.929119,31,18.642805
149.279061,49,18.995131
159.405912,35,19.269115
-1728.907334,50,19.690396
-1637.589768,43,20.035014
-1723.12573,49,20.407054
-1670.316843,44,20.787403
128.573195,17,20.933262
-1614.771499,36,21.200783
161.88301,18,21.3208
-1789.785409,68,21.792468
138.865385,35,22.004604
-1704.539504,42,22.328296
-1649.189583,45,22.685027
135.894778,29,22.861589
-1652.450789,60,23.300877
-1630.80059,50,23.680681
130.552607,52,24.084733
-1717.41773,44,24.489116
-783.881744,31,24.753675
-1626.246116,34,25.013345
-1645.334364,62,25.500097
-1624.996559,39,25.775648
-1772.474562,35,26.050659
-1695.304173,34,26.337178
-1653.864611,68,26.88172
16.477304,31,27.129245
-1649.380296,41,27.447881
81.967656,31,27.675682
-1809.975541,83,28.333339
133.072879,40,28.586185
-1790.726383,69,29.071248
78.454273,50,29.375256
95.511361,26,29.523279
-16.464876,44,29.809162
-171.691706,37,30.035228
-1627.893679,71,30.502333
-773.964547,51,30.842902
-1682.07543,40,31.130006
10.813819,85,31.625453
32.041408,29,31.807312
128.668855,27,31.973245
-1635.499959,69,32.4684
140.56142,38,32.717442
-1756.319575,72,33.181254
155.772186,35,33.443386
1.754714,56,33.824405
-161.697965,46,34.14769
69.911344,41,34.432454
-1628.697677,51,34.790881
-1638.925467,37,35.054375
95.018875,42,35.346603
160.316128,38,35.584702
106.075084,36,35.792914
-1644.411929,40,36.082637
93.281524,45,36.377407
-1654.313372,64,36.78745
-760.050989,42,39.479799
114.819576,35,39.726165
-860.282011,35,39.995724
35.201367,87,40.574474
-194.270482,29,40.766567
90.33879,20,40.900042
92.738478,33,41.125849
-1633.02347,66,41.56905
97.940757,38,41.824719
-1638.518999,42,42.115286
140.149633,33,42.305525
-1663.082403,40,42.654396
142.602621,50,43.00867
124.88123,32,43.29759
159.914756,32,43.574823
-1635.295243,38,43.923097
127.481121,26,44.18254
-1631.98834,45,44.565758
-1715.654958,53,45.034366
133.633687,42,45.314211
-1635.663925,54,45.75192
163.833059,31,46.018474
-1631.965607,40,46.356305
83.474405,33,46.627173
140.406872,32,46.894229
118.473385,41,47.17399
121.056991,34,47.383639
141.955952,54,47.708269
-156.463622,43,48.031362
-20.102578,41,48.365894
-1685.957303,47,48.758072
113.733914,40,49.065778
121.271357,37,49.375328
-254.894847,62,49.905242
108.228305,45,50.250609
-99.964015,38,50.55333
-1621.730921,41,50.910372
-1697.993051,66,51.422
-8.832829,46,51.833531
-1735.579754,52,52.287267
100.400998,45,52.727099
-227.214939,56,53.190916
-802.302857,29,53.452911
-1623.896228,56,53.927004
37.49468,39,54.221095
-1660.181088,50,54.57095
97.641985,51,54.914763
-1695.857483,60,55.358085
-1632.061315,38,55.63188
119.099122,33,55.896733
89.843451,29,56.083053
-1756.365345,37,56.425554
-256.744191,94,57.138995
-785.300132,34,57.427062
122.959017,30,57.640025
-789.108709,34,57.928977
164.438531,27,58.165017
85.533555,57,58.586839
-1693.821557,55,58.98824
-1747.72677,70,59.499683
118.969168,49,59.835921
143.643691,33,60.051118
-301.594789,56,60.439772
3.545397,46,60.751976
149.330867,26,60.938532
126.055791,25,61.134463
-1626.549499,46,61.472803
-1717.09978,43,61.804024
-1634.665557,54,62.25824
157.601465,29,62.456059
136.13647,30,62.684902
-1679.485526,54,63.13754
129.698188,22,63.33168
-8.992144,41,63.68521
-1687.716217,69,64.220115
-219.615786,42,64.521652
115.107494,50,64.849691
117.548457,36,65.086513
-1715.709169,37,65.644752
112.861981,32,65.807112
135.901089,38,66.000045
-1677.253086,40,66.225511
-1663.15143,72,66.605524
