episode,total_reward,length,termination_reason,final_element_count,final_resource_usage,refine_count,coarsen_count,no_change_count,refine_pct,coarsen_pct,no_change_pct
1,-1461.357788092224,71,Budget exceeded (post-adapt),0,0,19,26,26,0.2676056338028169,0.36619718309859156,0.36619718309859156
2,-1145.4529507309198,49,Budget exceeded (pre-action),0,0,15,17,17,0.30612244897959184,0.3469387755102041,0.3469387755102041
3,-1307.1274350797758,74,Budget exceeded (pre-action),0,0,22,18,34,0.2972972972972973,0.24324324324324326,0.4594594594594595
4,-1969.0611818332784,82,Budget exceeded (pre-action),0,0,24,27,31,0.2926829268292683,0.32926829268292684,0.3780487804878049
5,-1389.7313831169158,159,Budget exceeded (pre-action),0,0,38,71,50,0.2389937106918239,0.44654088050314467,0.31446540880503143
6,-1890.6425624780823,123,Budget exceeded (pre-action),0,0,30,46,47,0.24390243902439024,0.37398373983739835,0.3821138211382114
7,-1420.4568101018667,125,Budget exceeded (pre-action),0,0,26,61,38,0.208,0.488,0.304
8,-1180.8034748534774,84,Budget exceeded (pre-action),0,0,24,31,29,0.2857142857142857,0.36904761904761907,0.34523809523809523
9,-1209.4533759612316,176,Budget exceeded (post-adapt),0,0,36,73,67,0.20454545454545456,0.4147727272727273,0.3806818181818182
10,-1936.3214636584744,94,Budget exceeded (pre-action),0,0,21,39,34,0.22340425531914893,0.4148936170212766,0.3617021276595745
11,-85.40270998026244,200,Maximum episode steps reached,0,0,38,87,75,0.19,0.435,0.375
12,-1189.4682658612728,84,Budget exceeded (pre-action),0,0,21,33,30,0.25,0.39285714285714285,0.35714285714285715
13,-1158.040974907577,57,Budget exceeded (post-adapt),0,0,17,24,16,0.2982456140350877,0.42105263157894735,0.2807017543859649
14,-259.8193252615165,200,Maximum episode steps reached,0,0,40,100,60,0.2,0.5,0.3
15,-1333.2871731772582,154,Budget exceeded (post-adapt),0,0,35,70,49,0.22727272727272727,0.45454545454545453,0.3181818181818182
16,-1083.0638835595455,34,Budget exceeded (pre-action),0,0,14,12,8,0.4117647058823529,0.35294117647058826,0.23529411764705882
17,-121.47968892008066,37,Error: Mesh quality issues: Element size ratio too large: 384.00,0,0,15,15,7,0.40540540540540543,0.40540540540540543,0.1891891891891892
18,-1153.7211048607714,74,Budget exceeded (post-adapt),0,0,20,34,20,0.2702702702702703,0.4594594594594595,0.2702702702702703
19,-1339.8009248115122,44,Budget exceeded (post-adapt),0,0,14,18,12,0.3181818181818182,0.4090909090909091,0.2727272727272727
20,-1903.478278534487,38,Budget exceeded (pre-action),0,0,13,13,12,0.34210526315789475,0.34210526315789475,0.3157894736842105
21,-2020.0533711195458,124,Budget exceeded (pre-action),0,0,24,54,46,0.1935483870967742,0.43548387096774194,0.3709677419354839
22,-1157.4187431894243,86,Budget exceeded (post-adapt),0,0,24,37,25,0.27906976744186046,0.43023255813953487,0.29069767441860467
23,-1966.1084231601562,57,Budget exceeded (pre-action),0,0,17,25,15,0.2982456140350877,0.43859649122807015,0.2631578947368421
24,-933.4534191803541,23,Budget exceeded (post-adapt),0,0,12,6,5,0.5217391304347826,0.2608695652173913,0.21739130434782608
25,-2004.5596443972086,122,Budget exceeded (post-adapt),0,0,20,49,53,0.16393442622950818,0.4016393442622951,0.4344262295081967
26,-2035.63554932973,121,Budget exceeded (pre-action),0,0,27,57,37,0.2231404958677686,0.47107438016528924,0.30578512396694213
27,-1858.460016748868,93,Budget exceeded (post-adapt),0,0,23,40,30,0.24731182795698925,0.43010752688172044,0.3225806451612903
28,-1401.1385435217526,103,Budget exceeded (post-adapt),0,0,25,42,36,0.24271844660194175,0.4077669902912621,0.34951456310679613
29,-1444.2893667690842,70,Budget exceeded (pre-action),0,0,16,37,17,0.22857142857142856,0.5285714285714286,0.24285714285714285
30,-1157.1643850938417,81,Budget exceeded (pre-action),0,0,18,36,27,0.2222222222222222,0.4444444444444444,0.3333333333333333
31,-1268.2848047077516,163,Budget exceeded (post-adapt),0,0,27,69,67,0.1656441717791411,0.4233128834355828,0.4110429447852761
32,-1354.7039685463533,130,Budget exceeded (pre-action),0,0,24,56,50,0.18461538461538463,0.4307692307692308,0.38461538461538464
33,-293.4215387967114,66,Error: Mesh quality issues: Element size ratio too large: 384.00,0,0,14,25,27,0.21212121212121213,0.3787878787878788,0.4090909090909091
34,-1940.5531281542499,109,Budget exceeded (post-adapt),0,0,27,38,44,0.24770642201834864,0.3486238532110092,0.4036697247706422
35,-1284.8946886742488,49,Budget exceeded (pre-action),0,0,14,16,19,0.2857142857142857,0.32653061224489793,0.3877551020408163
36,-1311.0387087871786,45,Budget exceeded (post-adapt),0,0,15,17,13,0.3333333333333333,0.37777777777777777,0.28888888888888886
37,-1303.0560690602288,120,Budget exceeded (pre-action),0,0,27,51,42,0.225,0.425,0.35
38,-1933.9006299935281,76,Budget exceeded (pre-action),0,0,18,31,27,0.23684210526315788,0.40789473684210525,0.35526315789473684
39,-1315.8900206619874,60,Budget exceeded (pre-action),0,0,17,26,17,0.2833333333333333,0.43333333333333335,0.2833333333333333
40,-1080.7525600576773,46,Budget exceeded (post-adapt),0,0,12,12,22,0.2608695652173913,0.2608695652173913,0.4782608695652174
41,-1160.577252767563,48,Budget exceeded (pre-action),0,0,14,18,16,0.2916666666666667,0.375,0.3333333333333333
42,-1219.9448943341533,158,Budget exceeded (post-adapt),0,0,20,64,74,0.12658227848101267,0.4050632911392405,0.46835443037974683
43,-1172.424127755858,160,Budget exceeded (post-adapt),0,0,16,70,74,0.1,0.4375,0.4625
44,-1170.4586177417077,105,Budget exceeded (post-adapt),0,0,17,38,50,0.1619047619047619,0.3619047619047619,0.47619047619047616
45,-1399.490427392535,129,Budget exceeded (post-adapt),0,0,29,52,48,0.2248062015503876,0.40310077519379844,0.37209302325581395
46,-2030.8951437449552,97,Budget exceeded (pre-action),0,0,21,31,45,0.21649484536082475,0.31958762886597936,0.4639175257731959
47,-267.6175332538744,200,Maximum episode steps reached,0,0,18,84,98,0.09,0.42,0.49
48,-132.8105118315338,200,Maximum episode steps reached,0,0,20,75,105,0.1,0.375,0.525
49,-2057.619639247656,119,Budget exceeded (pre-action),0,0,25,47,47,0.21008403361344538,0.3949579831932773,0.3949579831932773
