timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,2,1,-4.1407347,0.2,5,0.2,0,0
2,0,-1,4.1407347,0.16,4,0.16,0,0
3,2,1,28.364332,0.2,5,0.2,0,0
4,1,0,0.0,0.2,5,0.2,0,0
5,1,0,0.0,0.2,5,0.2,0,0
6,1,0,0.0,0.2,5,0.2,0,0
7,1,0,0.0,0.2,5,0.2,0,0
8,2,1,23.955872,0.28,7,0.28,0,0
9,0,-1,-0.0,0.28,7,0.28,0,0
10,2,1,26.436209,0.32,8,0.32,0,0
11,1,0,0.0,0.32,8,0.32,0,0
12,1,0,0.0,0.32,8,0.32,0,0
13,0,-1,-0.0,0.32,8,0.32,0,0
14,0,-1,-26.436209,0.28,7,0.28,0,0
15,1,0,0.0,0.28,7,0.28,0,0
16,1,0,0.0,0.28,7,0.28,0,0
17,0,-1,-26.773045,0.24,6,0.24,0,0
18,1,0,0.0,0.24,6,0.24,0,0
19,2,1,-4.515826,0.28,7,0.28,0,0
20,0,-1,-27.98924,0.24,6,0.24,0,0
21,0,-1,4.278687,0.2,5,0.2,0,0
22,0,-1,-28.346605,0.16,4,0.16,0,0
23,0,-1,-0.0,0.16,4,0.16,0,0
24,2,1,-4.1407347,0.2,5,0.2,0,0
25,0,-1,-0.0,0.2,5,0.2,0,0
26,1,0,0.0,0.2,5,0.2,0,0
27,0,-1,-0.0,0.2,5,0.2,0,0
28,2,1,-4.278605,0.24,6,0.24,0,0
29,1,0,0.0,0.24,6,0.24,0,0
30,2,1,27.971514,0.28,7,0.28,0,0
31,0,-1,4.515744,0.24,6,0.24,0,0
32,1,0,0.0,0.24,6,0.24,0,0
33,0,-1,4.278687,0.2,5,0.2,0,0
34,1,0,0.0,0.2,5,0.2,0,0
35,0,-1,-0.0,0.2,5,0.2,0,0
36,0,-1,-0.0,0.2,5,0.2,0,0
37,0,-1,-0.0,0.2,5,0.2,0,0
38,1,0,0.0,0.2,5,0.2,0,0
39,1,0,0.0,0.2,5,0.2,0,0
40,2,1,28.22638,0.24,6,0.24,0,0
41,1,0,0.0,0.24,6,0.24,0,0
