#{"t_start": 1740061625.696355, "env_id": "None"}
r,l,t
-100.0,1,1.528508
-100.0,1,1.544165
-100.0,1,1.557247
-100.0,1,1.568467
-100.0,1,1.582011
-100.0,1,1.652173
-100.0,1,1.666707
-100.0,1,1.68269
-100.0,1,1.695401
-100.0,1,1.70987
-100.0,1,1.727356
-100.0,1,1.740424
-100.0,1,1.753633
-100.0,1,1.76725
-100.0,1,1.779986
-100.0,1,1.797015
-100.0,1,1.838247
-100.0,1,1.85097
-100.0,1,1.863064
-100.0,1,1.875762
-100.0,1,1.891634
-100.0,1,1.906498
-100.0,1,1.921078
-100.0,1,1.935003
-100.0,1,1.947416
-100.0,1,1.963623
-100.0,1,1.978176
-100.0,1,1.991075
-100.0,1,2.005804
-100.0,1,2.01941
-100.0,1,2.036903
-100.0,1,2.051561
-100.0,1,2.064415
-100.0,1,2.078447
-100.0,1,2.090769
-100.0,1,2.109298
-100.0,1,2.126366
-100.0,1,2.140702
-100.0,1,2.155551
-100.0,1,2.169296
-100.0,1,2.185121
-100.0,1,2.19814
-100.0,1,2.210355
-100.0,1,2.224499
-100.0,1,2.236759
-100.0,1,2.25549
-100.0,1,2.270778
-100.0,1,2.286125
-100.0,1,2.328316
-100.0,1,2.343083
-100.0,1,2.363905
-100.0,1,2.376519
-100.0,1,2.391733
-100.0,1,2.405914
-100.0,1,2.419758
-100.0,1,2.43593
-100.0,1,2.450117
-100.0,1,2.464597
-100.0,1,2.47816
-100.0,1,2.491085
-100.0,1,2.507338
-100.0,1,2.521038
-100.0,1,2.537013
-100.0,1,2.551534
-100.0,1,2.565811
-100.0,1,2.582077
-100.0,1,2.598354
-100.0,1,2.611247
-100.0,1,2.624807
-100.0,1,2.638847
-100.0,1,2.655482
-100.0,1,2.698207
-100.0,1,2.711175
-100.0,1,2.726301
-100.0,1,2.739438
-100.0,1,2.757593
-100.0,1,2.770757
-100.0,1,2.784209
-100.0,1,2.797764
-100.0,1,2.809423
-100.0,1,2.826208
-100.0,1,2.839863
-100.0,1,2.853535
-100.0,1,2.868327
-100.0,1,2.884276
-100.0,1,2.901244
-100.0,1,2.915983
-100.0,1,2.928042
-100.0,1,2.941675
-100.0,1,2.956326
-100.0,1,2.972786
-100.0,1,2.985584
-100.0,1,3.001456
-100.0,1,3.014959
-100.0,1,3.028343
-100.0,1,3.044241
-100.0,1,3.058436
-100.0,1,3.072383
-100.0,1,3.084801
-100.0,1,3.097807
-100.0,1,3.114443
-100.0,1,3.127402
-100.0,1,3.141416
-100.0,1,3.157668
-100.0,1,3.170476
-100.0,1,3.186104
-100.0,1,3.199885
-100.0,1,3.212991
-100.0,1,3.225005
-100.0,1,3.238269
-100.0,1,3.255225
-100.0,1,3.26842
-100.0,1,3.281257
-100.0,1,3.295745
-100.0,1,3.308831
