#{"t_start": 1740482221.8355682, "env_id": "None"}
r,l,t
871.264095,85,2.093069
-288.12946,53,2.422369
436.011782,34,2.612112
241.472842,18,2.694701
-815.026903,47,3.115842
498.003014,38,3.320709
1018.814661,60,3.596211
622.953925,45,3.853251
-360.595063,108,4.594898
781.017001,83,5.262524
376.613337,27,5.434442
-212.078815,82,6.12389
819.796574,72,6.640938
837.139882,64,7.101848
611.662606,54,7.498417
451.990209,49,7.836432
1267.606461,61,8.136078
408.452114,50,8.511866
872.90397,78,9.154694
924.169465,80,9.781682
896.145874,65,10.217204
629.10438,59,10.716563
752.905841,53,11.15881
283.371868,38,11.466488
1692.357926,132,12.472141
-230.868334,76,13.100115
914.048828,74,13.663664
3449.57289,229,15.259198
802.292047,60,15.748775
1390.751322,135,16.883593
2606.279341,159,17.993223
2945.832722,253,19.956478
2324.43036,124,20.689918
2527.210485,134,21.44501
1450.252576,111,22.255393
5322.464194,325,24.508873
1239.080968,155,25.822453
809.756092,62,26.287838
8326.245287,386,28.487651
