#{"t_start": 1742872686.272856, "env_id": "None"}
r,l,t
-1155.673035,34,1.982325
-1223.324925,80,2.661084
-1929.122534,47,2.980837
-1104.915133,57,3.392888
-1964.798606,54,3.736237
-1083.879772,42,4.002798
-1986.845715,86,4.598451
-1424.308607,36,4.865168
-2012.026309,65,5.300015
-1495.332707,86,5.838526
-1309.573864,70,6.324713
-1304.65701,58,6.732389
-1956.661943,104,7.639548
29.903849,200,9.283799
-1230.537175,126,10.521245
-1962.699761,36,10.814362
-1337.395474,87,11.560476
-1930.309618,73,12.23567
-1351.222697,184,13.930751
-1101.306348,38,14.276373
-1356.405172,88,15.111518
-1895.22721,94,15.95331
-1338.329312,89,16.644478
-1287.00448,64,17.129886
-932.497986,39,17.456217
-2067.701244,65,17.996304
-1939.77678,45,18.441173
-1062.087657,69,19.128456
-1305.727376,69,19.739427
-1972.766499,75,20.566434
