timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,1,0,0.0,0.1,4,0.1,0,0
2,1,0,0.0,0.1,4,0.1,0,0
3,0,-1,-0.0,0.1,4,0.1,0,0
4,0,-1,-0.0,0.1,4,0.1,0,0
5,2,1,-1.3167474,0.125,5,0.125,0,0
6,1,0,0.0,0.125,5,0.125,0,0
7,1,0,0.0,0.125,5,0.125,0,0
8,0,-1,1.3167474,0.1,4,0.1,0,0
9,1,0,0.0,0.1,4,0.1,0,0
10,1,0,0.0,0.1,4,0.1,0,0
11,0,-1,-0.0,0.1,4,0.1,0,0
12,2,1,-1.3168294,0.125,5,0.125,0,0
13,2,1,31.19833,0.15,6,0.15,0,0
14,2,1,-1.2853738,0.175,7,0.175,0,0
15,1,0,0.0,0.175,7,0.175,0,0
16,1,0,0.0,0.175,7,0.175,0,0
17,0,-1,1.2853738,0.15,6,0.15,0,0
18,2,1,26.97155,0.175,7,0.175,0,0
19,1,0,0.0,0.175,7,0.175,0,0
20,0,-1,-26.97155,0.15,6,0.15,0,0
21,1,0,0.0,0.15,6,0.15,0,0
22,2,1,31.220118,0.175,7,0.175,0,0
23,2,1,25.418283,0.225,9,0.225,0,0
24,1,0,0.0,0.225,9,0.225,0,0
25,2,1,-1.365292,0.25,10,0.25,0,0
26,2,1,29.867935,0.275,11,0.275,0,0
27,2,1,26.77848,0.3,12,0.3,0,0
28,2,1,23.368673,0.35,14,0.35,0,0
29,1,0,0.0,0.35,14,0.35,0,0
30,0,-1,-26.403168,0.325,13,0.325,0,0
31,1,0,0.0,0.325,13,0.325,0,0
32,0,-1,-25.008465,0.3,12,0.3,0,0
33,2,1,28.27426,0.35,14,0.35,0,0
34,2,1,27.91172,0.375,15,0.375,0,0
35,2,1,-1.8574106,0.4,16,0.4,0,0
36,2,1,26.505312,0.425,17,0.425,0,0
37,1,0,0.0,0.425,17,0.425,0,0
38,0,-1,-26.505312,0.4,16,0.4,0,0
39,1,0,0.0,0.4,16,0.4,1,0
40,1,0,0.0,0.4,16,0.4,0,0
41,1,0,0.0,0.4,16,0.4,0,0
42,0,-1,-27.791548,0.375,15,0.375,0,0
43,1,0,0.0,0.375,15,0.375,0,0
44,2,1,26.637453,0.4,16,0.4,0,0
45,0,-1,-26.637453,0.375,15,0.375,0,0
46,0,-1,-26.520403,0.35,14,0.35,0,0
47,1,0,0.0,0.35,14,0.35,0,0
48,2,1,-3.5981169,0.4,16,0.4,0,0
49,1,0,0.0,0.4,16,0.4,0,0
50,2,1,25.651457,0.45,18,0.45,0,0
51,2,1,23.397573,0.5,20,0.5,0,0
52,0,-1,-0.19429944,0.5,20,0.5,0,0
53,2,1,12.576357,0.55,22,0.55,0,0
54,2,1,-3.4040418,0.575,23,0.575,0,0
55,2,1,12.533594,0.6,24,0.6,0,0
56,2,1,5.697393,0.625,25,0.625,0,0
57,0,-1,-1.8102973e-08,0.625,25,0.625,0,0
58,2,1,21.683289,0.65,26,0.65,0,0
59,0,-1,4.8829226,0.625,25,0.625,0,0
60,1,0,0.0,0.625,25,0.625,0,0
61,1,0,0.0,0.625,25,0.625,0,0
62,1,0,0.0,0.625,25,0.625,0,0
63,0,-1,-1.9513273e-08,0.625,25,0.625,0,0
64,0,-1,-22.27388,0.6,24,0.6,0,0
65,2,1,23.477251,0.625,25,0.625,0,0
66,2,1,18.497963,0.675,27,0.675,0,0
67,1,0,0.0,0.675,27,0.675,0,0
68,2,1,13.288417,0.725,29,0.725,0,0
69,1,0,0.0,0.725,29,0.725,0,0
70,0,-1,-2.3050961,0.7,28,0.7,0,0
71,0,-1,-0.003345484,0.7,28,0.7,0,0
72,0,-1,-9.817823,0.675,27,0.675,0,0
73,1,0,0.0,0.675,27,0.675,0,0
74,1,0,0.0,0.675,27,0.675,0,0
75,1,0,0.0,0.675,27,0.675,0,0
76,2,1,20.081617,0.7,28,0.7,0,0
77,0,-1,-0.0,0.7,28,0.7,0,0
78,1,0,0.0,0.7,28,0.7,0,0
79,0,-1,-0.0,0.7,28,0.7,0,0
80,2,1,0.71348214,0.775,31,0.775,0,0
81,2,1,12.011131,0.8,32,0.8,0,0
82,1,0,0.0,0.8,32,0.8,0,0
83,1,0,0.0,0.8,32,0.8,0,0
84,2,1,-17.95304,0.825,33,0.825,0,0
85,0,-1,-0.059920397,0.825,33,0.825,0,0
86,2,1,2.8581998,0.85,34,0.85,0,0
87,1,0,0.0,0.85,34,0.85,0,0
88,0,-1,23.902626,0.825,33,0.825,0,0
89,1,0,0.0,0.825,33,0.825,0,0
90,2,1,-23.769722,0.85,34,0.85,0,0
