timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,1,0,0.0,0.1,4,0.1,0,0
2,1,0,0.0,0.1,4,0.1,0,0
3,0,-1,-0.0,0.1,4,0.1,0,0
4,0,-1,-0.0,0.1,4,0.1,0,0
5,2,1,-1.3167474,0.125,5,0.125,0,0
6,1,0,0.0,0.125,5,0.125,0,0
7,1,0,0.0,0.125,5,0.125,0,0
8,0,-1,1.3167474,0.1,4,0.1,0,0
9,1,0,0.0,0.1,4,0.1,0,0
10,1,0,0.0,0.1,4,0.1,0,0
11,0,-1,-0.0,0.1,4,0.1,0,0
12,2,1,-1.3168294,0.125,5,0.125,0,0
13,2,1,31.19833,0.15,6,0.15,0,0
14,2,1,-1.2853738,0.175,7,0.175,0,0
15,1,0,0.0,0.175,7,0.175,0,0
16,1,0,0.0,0.175,7,0.175,0,0
17,0,-1,1.2853738,0.15,6,0.15,0,0
18,2,1,26.97155,0.175,7,0.175,0,0
19,1,0,0.0,0.175,7,0.175,0,0
20,0,-1,-26.97155,0.15,6,0.15,0,0
21,1,0,0.0,0.15,6,0.15,0,0
22,2,1,31.220118,0.175,7,0.175,0,0
23,2,1,25.418283,0.225,9,0.225,0,0
24,1,0,0.0,0.225,9,0.225,0,0
25,2,1,-1.365292,0.25,10,0.25,0,0
26,2,1,29.867935,0.275,11,0.275,0,0
27,2,1,26.77848,0.3,12,0.3,0,0
28,2,1,23.368673,0.35,14,0.35,0,0
29,1,0,0.0,0.35,14,0.35,0,0
30,0,-1,-26.403168,0.325,13,0.325,0,0
