timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,0,-1,-0.0,0.05,4,0.1,0,0
2,0,-1,-0.0,0.05,4,0.1,0,0
3,0,-1,-0.0,0.05,4,0.1,0,0
4,0,-1,-0.0,0.05,4,0.1,0,0
5,0,-1,-0.0,0.05,4,0.1,0,0
6,1,0,0.0,0.05,4,0.1,0,0
7,1,0,0.0,0.05,4,0.1,0,0
8,1,0,0.0,0.05,4,0.1,0,0
9,2,1,22.456682,0.0625,5,0.125,0,0
10,2,1,22.70151,0.0875,7,0.175,0,0
11,1,0,0.0,0.0875,7,0.175,0,0
12,2,1,21.404394,0.1125,9,0.225,0,0
13,2,1,18.19459,0.1375,11,0.275,0,0
14,2,1,-10.031212,0.15,12,0.3,0,0
15,2,1,-10.092906,0.1875,15,0.375,0,0
16,1,0,0.0,0.1875,15,0.375,0,0
17,1,0,0.0,0.1875,15,0.375,0,0
18,2,1,18.70642,0.2125,17,0.425,0,0
19,1,0,0.0,0.2125,17,0.425,0,0
20,0,-1,-0.0,0.2125,17,0.425,0,0
21,0,-1,-27.301405,0.2,16,0.4,0,0
22,2,1,19.731756,0.225,18,0.45,0,0
23,2,1,-10.031213,0.2375,19,0.475,0,0
24,2,1,16.600132,0.2625,21,0.525,0,0
25,1,0,0.0,0.2625,21,0.525,0,0
26,1,0,0.0,0.2625,21,0.525,0,0
27,0,-1,0.031244824,0.25,20,0.5,0,0
28,1,0,0.0,0.25,20,0.5,0,0
29,2,1,16.590084,0.275,22,0.55,0,0
30,1,0,0.0,0.275,22,0.55,0,0
31,0,-1,-27.739561,0.2625,21,0.525,0,0
32,2,1,13.443606,0.275,22,0.55,0,0
33,0,-1,0.03121234,0.2625,21,0.525,0,0
34,1,0,0.0,0.2625,21,0.525,1,0
35,1,0,0.0,0.2625,21,0.525,0,0
36,0,-1,-0.0,0.2625,21,0.525,0,0
37,1,0,0.0,0.2625,21,0.525,0,0
38,2,1,14.261701,0.2875,23,0.575,1,0
39,0,-1,-21.889572,0.275,22,0.55,0,0
40,1,0,0.0,0.275,22,0.55,0,0
41,1,0,0.0,0.275,22,0.55,0,0
42,0,-1,-29.623877,0.2625,21,0.525,0,0
43,1,0,0.0,0.2625,21,0.525,0,0
44,1,0,0.0,0.2625,21,0.525,0,0
45,0,-1,-25.89586,0.25,20,0.5,0,0
46,2,1,15.212468,0.275,22,0.55,0,0
47,1,0,0.0,0.275,22,0.55,0,0
48,1,0,0.0,0.275,22,0.55,0,0
49,1,0,0.0,0.275,22,0.55,0,0
50,0,-1,-0.0,0.275,22,0.55,0,0
51,2,1,9.770806,0.2875,23,0.575,0,0
52,2,1,-10.028433,0.3,24,0.6,0,0
53,1,0,0.0,0.3,24,0.6,0,0
54,2,1,19.62146,0.3125,25,0.625,0,0
55,1,0,0.0,0.3125,25,0.625,0,0
56,2,1,17.298326,0.325,26,0.65,0,0
57,0,-1,-7.9378376,0.325,26,0.65,0,0
58,1,0,0.0,0.325,26,0.65,0,0
59,2,1,19.073458,0.3625,29,0.725,0,0
60,1,0,0.0,0.3625,29,0.725,0,0
61,2,1,16.568747,0.375,30,0.75,0,0
