episode,total_reward,length,termination_reason,final_element_count,final_resource_usage,refine_count,coarsen_count,no_change_count,refine_pct,coarsen_pct,no_change_pct,refinement_mode,refinement_level,refinement_probability,initial_elements,initial_resource_usage,element_growth_ratio
1,-2073.5709960460663,65,Budget exceeded (pre-action),0,0,19,22,24,0.2923076923076923,0.3384615384615385,0.36923076923076925,,,,,,
2,-2061.4865678540373,56,Budget exceeded (pre-action),0,0,19,18,19,0.3392857142857143,0.32142857142857145,0.3392857142857143,,,,,,
3,-1562.7278120839037,88,Budget exceeded (pre-action),0,0,28,34,26,0.3181818181818182,0.38636363636363635,0.29545454545454547,,,,,,
4,-1946.7034152831184,51,Budget exceeded (post-adapt),0,0,17,18,16,0.3333333333333333,0.35294117647058826,0.3137254901960784,,,,,,
5,-1946.352142572403,37,Budget exceeded (pre-action),0,0,14,9,14,0.3783783783783784,0.24324324324324326,0.3783783783783784,,,,,,
6,-2001.860608147255,61,Budget exceeded (pre-action),0,0,19,24,18,0.3114754098360656,0.39344262295081966,0.29508196721311475,,,,,,
7,-1986.1345806256868,59,Budget exceeded (post-adapt),0,0,21,18,20,0.3559322033898305,0.3050847457627119,0.3389830508474576,,,,,,
8,-1046.9997666963777,35,Budget exceeded (pre-action),0,0,13,10,12,0.37142857142857144,0.2857142857142857,0.34285714285714286,,,,,,
9,-1285.2925316853798,63,Budget exceeded (pre-action),0,0,19,23,21,0.30158730158730157,0.36507936507936506,0.3333333333333333,,,,,,
10,-1947.902237266302,42,Budget exceeded (post-adapt),0,0,15,13,14,0.35714285714285715,0.30952380952380953,0.3333333333333333,,,,,,
11,-1959.8892481327057,47,Budget exceeded (post-adapt),0,0,20,10,17,0.425531914893617,0.2127659574468085,0.3617021276595745,,,,,,
12,-1189.5966714154492,89,Budget exceeded (pre-action),0,0,22,30,37,0.24719101123595505,0.33707865168539325,0.4157303370786517,,,,,,
13,-1348.161645609824,62,Budget exceeded (pre-action),0,0,21,19,22,0.3387096774193548,0.3064516129032258,0.3548387096774194,,,,,,
14,-1333.5091969047207,65,Budget exceeded (post-adapt),0,0,21,19,25,0.3230769230769231,0.2923076923076923,0.38461538461538464,,,,,,
15,-1954.3556117780868,69,Budget exceeded (pre-action),0,0,17,24,28,0.2463768115942029,0.34782608695652173,0.4057971014492754,,,,,,
16,-2017.4738529967144,37,Budget exceeded (post-adapt),0,0,15,11,11,0.40540540540540543,0.2972972972972973,0.2972972972972973,,,,,,
17,-1902.4107010619591,59,Budget exceeded (post-adapt),0,0,19,12,28,0.3220338983050847,0.2033898305084746,0.4745762711864407,,,,,,
18,-1860.6171566767152,77,Budget exceeded (post-adapt),0,0,22,24,31,0.2857142857142857,0.3116883116883117,0.4025974025974026,,,,,,
19,-1433.1627890016243,90,Budget exceeded (pre-action),0,0,21,27,42,0.23333333333333334,0.3,0.4666666666666667,,,,,,
20,-1961.8295803070068,51,Budget exceeded (pre-action),0,0,16,13,22,0.3137254901960784,0.2549019607843137,0.43137254901960786,,,,,,
21,-2003.8757000896148,82,Budget exceeded (pre-action),0,0,21,30,31,0.25609756097560976,0.36585365853658536,0.3780487804878049,,,,,,
22,-1273.1558792728465,51,Budget exceeded (pre-action),0,0,16,12,23,0.3137254901960784,0.23529411764705882,0.45098039215686275,,,,,,
23,-2002.66971886158,75,Budget exceeded (pre-action),0,0,21,19,35,0.28,0.25333333333333335,0.4666666666666667,,,,,,
24,-1121.5818084478378,25,Budget exceeded (post-adapt),0,0,13,3,9,0.52,0.12,0.36,,,,,,
25,-1358.9177985142037,70,Budget exceeded (pre-action),0,0,21,21,28,0.3,0.3,0.4,,,,,,
26,-1390.0701432228088,44,Budget exceeded (post-adapt),0,0,17,13,14,0.38636363636363635,0.29545454545454547,0.3181818181818182,,,,,,
27,-1943.8194792047143,30,Budget exceeded (pre-action),0,0,13,4,13,0.43333333333333335,0.13333333333333333,0.43333333333333335,,,,,,
28,-1969.642038676247,83,Budget exceeded (pre-action),0,0,23,27,33,0.27710843373493976,0.3253012048192771,0.39759036144578314,,,,,,
29,-1453.1876456578211,116,Budget exceeded (pre-action),0,0,27,35,54,0.23275862068965517,0.3017241379310345,0.46551724137931033,,,,,,
