#{"t_start": 1743708637.2975051, "env_id": "None"}
r,l,t
-1892.590376,40,2.10221
-822.047664,101,2.779042
-730.514848,108,3.444208
-1370.394485,38,3.696719
-1782.110347,59,4.125074
-1913.089248,24,4.276747
-331.144047,104,5.175375
-1223.963982,24,5.388795
-1718.90533,87,6.116146
-1743.991677,80,6.744639
-1680.274883,126,7.693609
-1603.792088,112,8.835012
-1260.827804,40,9.213208
-969.299957,58,12.267561
-1175.185075,35,12.565742
-1045.530317,70,13.123964
-1905.14383,58,13.666897
-1657.732921,71,14.301273
-1333.45737,41,14.746299
-941.638987,44,15.181459
-1567.907107,52,15.671276
-1307.072473,47,16.092629
-1705.3645,30,16.40646
-1231.863195,40,16.715691
-1024.563799,72,17.266941
-1294.665095,74,17.907685
-1763.300073,54,18.330833
-1306.054727,34,18.659079
-1778.981211,91,19.451623
-1842.153897,44,19.864433
-957.140163,63,20.358091
-1181.816797,35,20.664123
-1713.282839,62,23.42554
-1811.085833,65,23.916402
-1450.444869,115,24.956095
-421.123111,255,27.132723
-1789.44927,85,27.831411
-1126.003946,64,28.42335
-659.465143,111,29.415077
-1092.266391,114,30.326927
-1207.188551,61,30.722333
-993.365286,91,31.396247
-749.613236,54,34.080889
-1185.848292,127,34.94458
-1777.481724,81,35.560063
-1863.539298,37,35.852528
-917.895407,111,36.694025
-866.08909,39,37.000852
-1428.548286,61,37.585984
-545.171507,40,37.989826
-1485.152477,123,39.149815
-554.82163,70,39.815382
-111.06577,79,40.616473
-1251.620247,119,41.681194
-665.081493,126,44.935307
-1754.966485,61,45.348906
-985.469801,60,45.730433
-1737.321438,75,46.322686
-1494.395882,80,47.075179
-778.390709,42,47.463138
-638.499198,116,48.316837
-860.221016,74,48.97455
-942.97087,44,49.298467
-1738.493435,97,50.232605
-1860.096945,52,50.690242
-801.783994,252,52.998638
-953.13947,85,55.908766
-912.778766,93,56.794596
-145.080416,184,58.750451
-308.373946,204,60.587229
654.863619,300,63.229326
-1072.50598,102,64.048976
602.344779,300,68.889483
367.386861,300,71.413763
-510.839521,84,72.294116
-820.015616,139,73.524151
-1222.204883,66,74.109302
-1075.273388,102,75.094328
-779.04496,40,75.497535
-957.619998,39,78.173721
-833.519475,100,78.884127
597.812335,300,81.595685
-1150.890343,88,82.604005
1103.914154,300,85.669068
647.334632,300,90.666772
1187.841439,300,93.256747
863.832807,300,96.100694
-1354.594545,296,101.538748
-922.647283,75,102.310599
994.773082,300,105.396621
1575.476634,300,108.285379
703.463505,300,111.255914
380.504657,300,119.483229
570.203593,300,120.774196
404.617046,300,122.083054
419.776056,300,123.342644
309.869938,300,124.613208
