timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,0,-1,-0.0,0.1,4,0.1,0,0
2,1,0,0.0,0.1,4,0.1,0,0
3,0,-1,-0.0,0.1,4,0.1,0,0
4,0,-1,-0.0,0.1,4,0.1,0,0
5,2,1,-1.3167474,0.125,5,0.125,0,0
6,2,1,-1.2890106,0.15,6,0.15,0,0
7,0,-1,1.2889286,0.125,5,0.125,0,0
8,2,1,31.216055,0.15,6,0.15,0,0
9,0,-1,-31.216055,0.125,5,0.125,0,0
10,1,0,0.0,0.125,5,0.125,0,0
11,0,-1,-0.0,0.125,5,0.125,0,0
12,0,-1,1.3168294,0.1,4,0.1,0,0
13,0,-1,-0.0,0.1,4,0.1,0,0
14,2,1,-1.3167474,0.125,5,0.125,0,0
15,0,-1,1.3167474,0.1,4,0.1,0,0
16,1,0,0.0,0.1,4,0.1,0,0
17,2,1,31.170511,0.125,5,0.125,0,0
18,0,-1,-0.0,0.125,5,0.125,0,0
19,1,0,0.0,0.125,5,0.125,0,0
20,2,1,31.216055,0.15,6,0.15,0,0
21,1,0,0.0,0.15,6,0.15,0,0
22,2,1,30.003922,0.175,7,0.175,0,0
23,1,0,0.0,0.175,7,0.175,0,0
24,2,1,28.838146,0.225,9,0.225,0,0
25,1,0,0.0,0.225,9,0.225,0,0
26,0,-1,-28.326546,0.2,8,0.2,0,0
27,1,0,0.0,0.2,8,0.2,0,0
28,1,0,0.0,0.2,8,0.2,0,0
29,0,-1,-0.0,0.2,8,0.2,0,0
30,2,1,28.326546,0.225,9,0.225,0,0
31,2,1,23.35277,0.325,13,0.325,0,0
32,0,-1,-0.0,0.325,13,0.325,0,0
33,1,0,0.0,0.325,13,0.325,0,0
34,1,0,0.0,0.325,13,0.325,0,0
35,0,-1,-0.0,0.325,13,0.325,0,0
36,1,0,0.0,0.325,13,0.325,0,0
37,2,1,23.56129,0.375,15,0.375,0,0
38,0,-1,-23.383669,0.35,14,0.35,0,0
39,0,-1,-25.124767,0.325,13,0.325,0,0
40,0,-1,-25.781033,0.3,12,0.3,0,0
41,1,0,0.0,0.3,12,0.3,0,0
42,0,-1,-28.173855,0.275,11,0.275,0,0
43,2,1,26.675213,0.325,13,0.325,0,0
44,0,-1,-0.0,0.325,13,0.325,0,0
45,1,0,0.0,0.325,13,0.325,0,0
46,2,1,-1.639762,0.35,14,0.35,0,0
47,1,0,0.0,0.35,14,0.35,0,0
48,2,1,-1.740153,0.375,15,0.375,0,0
49,1,0,0.0,0.375,15,0.375,0,0
50,2,1,22.887224,0.425,17,0.425,1,0
51,2,1,26.113598,0.45,18,0.45,0,0
52,2,1,21.910576,0.475,19,0.475,0,0
53,2,1,21.971703,0.5,20,0.5,0,0
54,2,1,20.759047,0.55,22,0.55,0,0
55,1,0,0.0,0.55,22,0.55,0,0
56,1,0,0.0,0.55,22,0.55,0,0
57,0,-1,-23.53863,0.525,21,0.525,0,0
58,1,0,0.0,0.525,21,0.525,0,0
59,2,1,8.298913,0.55,22,0.55,0,0
60,2,1,25.090822,0.575,23,0.575,0,0
61,2,1,23.528236,0.6,24,0.6,0,0
62,1,0,0.0,0.6,24,0.6,0,0
63,1,0,0.0,0.6,24,0.6,0,0
64,0,-1,-23.528236,0.575,23,0.575,0,0
65,1,0,0.0,0.575,23,0.575,0,0
66,0,-1,-23.827242,0.575,23,0.575,0,0
67,2,1,21.691832,0.625,25,0.625,0,0
68,2,1,17.870956,0.65,26,0.65,0,0
69,2,1,21.723593,0.675,27,0.675,0,0
70,1,0,0.0,0.675,27,0.675,0,0
71,1,0,0.0,0.675,27,0.675,0,0
72,0,-1,-21.723593,0.65,26,0.65,0,0
73,2,1,14.432103,0.7,28,0.7,0,0
74,1,0,0.0,0.7,28,0.7,0,0
75,1,0,0.0,0.7,28,0.7,0,0
76,2,1,16.413029,0.725,29,0.725,0,0
77,0,-1,-0.0,0.725,29,0.725,0,0
78,2,1,-20.340714,0.775,31,0.775,0,0
79,1,0,0.0,0.775,31,0.775,0,0
80,2,1,-4.444841,0.825,33,0.825,0,0
81,0,-1,-4.8008394,0.8,32,0.8,0,0
82,0,-1,-14.50712,0.775,31,0.775,0,0
83,1,0,0.0,0.775,31,0.775,0,0
84,1,0,0.0,0.775,31,0.775,0,0
85,2,1,-13.987712,0.8,32,0.8,0,0
86,2,1,-48.58495,0.875,35,0.875,0,0
87,0,-1,-1.0986353e-07,0.875,35,0.875,0,0
88,1,0,0.0,0.875,35,0.875,0,0
89,0,-1,-1.0167935e-07,0.875,35,0.875,0,0
90,0,-1,-0.0,0.875,35,0.875,0,0
91,2,1,-108.57119,0.925,37,0.925,0,0
92,1,0,0.0,0.925,37,0.925,0,0
93,0,-1,62.62875,0.9,36,0.9,0,0
94,0,-1,-0.0,0.9,36,0.9,0,0
95,0,-1,-0.0,0.9,36,0.9,0,0
96,0,-1,-0.0,0.9,36,0.9,0,0
97,1,0,0.0,0.9,36,0.9,0,0
98,2,1,-83.41891,0.925,37,0.925,0,0
99,1,0,0.0,0.925,37,0.925,0,0
100,0,-1,59.20931,0.9,36,0.9,1,0
