#{"t_start": 1742991732.0386071, "env_id": "None"}
r,l,t
-1817.249146,198,4.291882
-1685.512371,158,5.45744
-1816.387763,194,6.912962
-2129.23895,62,7.506029
149.232441,65,8.023973
-1621.538934,41,8.334619
-73.698503,48,8.661272
-1818.921449,49,9.060816
104.583638,52,9.453629
-1735.301321,52,9.945081
-1685.37091,50,10.327245
-1955.926449,111,11.398654
-1795.985288,94,12.233036
90.043703,32,12.476206
-1694.543135,57,12.996043
-760.818065,65,13.535223
-1776.091094,93,14.336236
-1681.36578,58,14.904414
-1858.772462,65,15.451924
-1671.503115,90,16.199454
151.979394,37,16.629041
166.061366,31,16.913503
-1695.559267,42,17.290501
161.853438,48,17.682976
-1640.431694,95,18.503502
93.209791,49,18.864577
-1889.217699,104,19.8016
