#{"t_start": 1743389236.839177, "env_id": "None"}
r,l,t
-1140.077985,64,1.898509
-1027.287663,58,2.336991
-1060.5457,97,2.968515
-1368.027551,64,3.338099
-1054.954178,69,3.746133
-1224.926476,50,4.033026
-1043.985868,79,4.476384
-1035.763685,46,4.787113
-1053.641832,55,5.171688
-1326.442202,44,5.51325
-1413.132686,61,5.971249
-1020.792093,60,6.510619
-1097.023608,53,6.877899
-1403.175315,33,7.13607
-1576.211077,57,7.576404
-1147.708419,43,7.888139
-1054.431741,55,8.284862
-1036.708881,48,8.718646
-1150.336638,46,9.164432
-1105.944392,40,9.532914
-1040.810102,64,9.962592
-1097.450846,38,10.255368
-1055.336751,38,10.552091
-1063.582041,36,10.830185
-1191.032957,42,11.243237
-1037.064183,32,11.535936
-1286.068438,36,11.854442
-1322.82896,42,12.20683
-1071.682981,34,12.49968
-1263.510345,42,12.847827
-1132.586726,28,13.086697
-1192.089131,25,13.305461
-1030.648646,39,13.645295
-1103.458595,44,13.996906
-1199.39583,35,14.301058
-1059.753668,41,14.604212
-1092.443787,34,14.848911
-1213.057052,28,15.069155
-1058.190323,36,15.35199
-1091.923829,33,15.610197
-1395.960266,38,15.94519
-1232.230189,41,16.297127
-1261.435112,37,16.65646
-1066.563702,38,17.101872
-1306.126345,31,17.430411
-1130.780848,34,17.708465
-1294.054103,36,18.048616
-1076.950036,31,18.307485
-1090.299699,37,18.619646
-1238.727544,41,18.932401
-1095.1893,43,19.342489
-1141.890344,31,19.645285
-1263.523468,40,20.021959
-1243.242999,33,20.286161
-1195.835866,38,20.620059
-1445.447552,48,21.043155
-1330.231711,34,21.349271
-1064.251001,30,21.619175
-1069.68525,31,21.892634
-1220.934936,30,22.180539
-1183.410977,29,22.475373
-1120.751704,25,22.693619
-1280.460953,33,22.989784
-1171.040598,27,23.210587
-1051.025275,25,23.43928
-1224.413006,30,23.696672
-1280.071113,34,23.986223
-1457.157257,28,24.219159
-1367.632727,34,24.507942
-1080.447449,31,24.767727
-1522.862918,34,25.009583
-1318.267941,28,25.230393
-1393.312381,24,25.432739
-1511.721526,29,25.660966
-1068.554747,31,25.88511
-1169.674784,28,26.095198
-1077.898377,41,26.380624
-1278.157244,34,26.609234
-1238.332389,25,26.825804
-1039.58647,26,27.03731
-1380.655081,31,27.298311
-1120.116826,39,27.646965
-1197.349725,31,27.898945
-1167.177549,35,28.212444
-1022.683901,26,28.46635
-1043.318247,38,28.830592
-1318.661499,37,29.15726
-1095.734617,36,29.459303
-1262.226805,41,29.832446
-1035.845336,32,30.095502
-1197.201919,27,30.327304
-1131.03722,27,30.537879
-1146.255042,27,30.754218
-1107.215853,31,30.990919
-1266.089615,32,31.236342
-1026.879375,34,31.493834
-1300.505194,30,31.73343
-1091.687821,30,31.979984
-1064.758688,42,32.311192
-1238.534048,28,32.571249
-1141.871026,32,32.90313
-1292.273529,27,33.154371
-1211.836669,33,33.465336
-1264.655038,29,33.740263
-1331.841215,39,34.094209
-1401.774568,51,34.55689
-1182.389746,35,34.862179
-1056.625523,26,35.081833
-1319.059981,28,35.32316
-1352.238981,34,35.606329
-1052.213943,38,35.915635
-1106.909263,36,36.259522
-1071.720475,26,36.480311
-1136.42148,26,36.693211
-1325.939297,28,36.904449
-1118.909033,26,37.105567
-1182.948742,28,37.324452
-1054.548659,27,37.525244
-1085.449973,33,37.76945
-1157.714782,28,37.999114
-1114.851942,34,38.262741
-1069.542277,29,38.502301
-1278.6621,32,38.756383
-1162.815369,30,38.979975
-1123.170147,33,39.246947
-1239.224477,27,39.453017
-1149.861532,31,39.772436
-1357.223013,26,40.043714
-1318.257976,30,40.318876
-1116.761661,27,40.551933
-1138.704305,32,40.829904
-1092.655066,30,41.102452
-1237.810037,40,41.429409
-1116.817558,23,41.625183
-1364.056683,30,41.908046
-1070.34526,38,42.266382
-1317.15549,38,45.30693
-1188.26893,31,45.598031
-1307.196877,28,45.852399
-1211.455818,30,46.129407
-1086.4674,28,46.388171
-1255.468337,44,46.806021
-1071.462644,32,47.060736
-1416.391413,33,47.339879
-1275.861411,27,47.614193
-1132.766775,34,47.918422
-1056.765109,33,48.20744
-1375.605814,31,48.497843
-1259.556781,28,48.741251
-1268.943387,40,49.120861
-1107.770805,33,49.490462
-1381.341759,33,49.799273
-1052.834122,43,50.151897
-1114.996817,24,50.37644
-1069.569017,45,50.774424
-1175.900874,26,51.035824
-1106.480653,37,51.382312
-1283.818435,29,51.626187
-1109.121407,32,51.919821
-1048.181222,23,52.154339
-1096.994496,29,52.411055
-1158.298164,35,52.739556
-1155.106573,27,52.990089
-1026.384114,33,53.287457
-1127.605028,26,53.527776
-1059.979671,26,53.766548
-1134.962297,31,54.05428
-1146.579537,32,54.353017
-1109.591227,24,54.604681
-1345.508261,22,54.818509
-1038.209798,35,55.10654
-1049.952617,29,55.391232
-1194.817478,30,55.668952
-1061.998995,37,56.007496
-1110.081365,35,56.322754
-1133.837711,33,56.647938
-1176.794505,26,56.912584
-1030.497653,26,57.139883
-1093.346817,29,57.411071
-1028.359668,29,57.666964
-1244.914369,26,57.904922
-1072.057889,30,58.159116
-1290.32543,30,58.432668
-1122.352197,35,58.751532
-1055.40928,33,59.05886
-1334.244556,27,59.300955
-1106.664584,28,59.577888
-1107.820772,32,59.851519
-1066.807897,26,60.061535
-1213.543576,39,60.420576
-1249.269035,30,60.679716
-1146.616189,28,60.948378
-1091.842559,30,61.238818
-1135.095692,34,61.527175
-1139.686276,29,61.809887
-1033.384867,31,62.084788
-1103.728038,48,62.527476
-1189.759472,36,62.864122
-1190.191101,27,63.098768
-1169.564521,45,63.495318
-1135.741417,43,63.905128
-1122.214644,26,64.133082
-1241.602258,31,64.426436
-1049.435124,30,64.688177
-1063.986361,25,64.929255
-1293.755937,33,65.199027
-1054.702746,33,65.462217
-1128.095204,25,65.655547
-1050.134988,24,65.837632
-1236.328732,30,66.0718
-1182.867715,24,66.253298
-1137.225916,28,66.490134
-1305.196915,30,66.712932
-1172.192211,28,66.975667
-1245.948765,25,67.185095
-1331.210765,33,67.455332
-1204.482151,30,67.699907
-1050.893245,29,67.946906
-1178.908247,39,68.306257
-1343.422989,27,68.545478
-1301.78984,28,68.8025
-1078.313703,31,69.082735
-1069.268136,33,69.384319
-1099.32531,27,69.659729
-1360.779373,25,69.877788
-1136.036667,33,70.183441
-1147.625957,29,70.415098
-1093.880343,39,70.729453
-1217.141981,28,70.993719
-1147.375017,36,71.317275
-1161.985608,30,71.582743
-1131.937488,38,71.934657
-1153.200128,40,72.262592
-1047.1205,33,72.533271
-1153.030261,33,72.820302
-1044.708462,28,73.077034
-1171.380099,34,73.358048
-1057.097428,38,73.702023
-1305.359481,42,74.097194
-1137.6925,31,74.369421
-1113.818832,38,74.694878
-1056.423865,28,74.972489
-1156.496453,34,75.240786
-1146.650491,41,75.557249
-1038.913882,38,75.854107
-1151.370856,51,76.252729
-1397.407341,51,76.611632
-1126.557621,46,76.941023
-1168.586563,46,77.284039
-1064.808897,39,77.567352
-1139.259439,33,77.809042
-1080.877509,39,78.104713
-1067.956985,58,78.56696
-1082.92641,30,78.801663
-1268.240782,61,79.238969
-1277.455343,35,79.516235
-1131.295716,44,79.849709
-1103.085335,30,80.089651
-1040.709573,37,80.390842
-1126.720388,25,80.579608
-1224.090643,42,81.045966
-1269.247963,28,81.274358
-1087.253137,32,81.534858
-1083.430231,36,81.809396
-1337.432876,31,82.062373
-1035.842954,28,82.304453
-1174.83321,39,82.640082
-1090.25071,33,82.946936
-1106.963866,31,83.23748
-1109.974232,35,83.547581
-1413.881651,57,84.080868
-1130.34368,39,84.428532
-1468.89141,34,84.738084
-1109.877812,31,85.015811
