#{"t_start": 1740063270.3523378, "env_id": "None"}
r,l,t
-50.48643,11,1.464073
-33.098554,7,1.517828
-59.801827,6,1.568609
-77.127427,9,1.647117
-91.811824,13,1.774752
-62.679888,9,1.854779
-131.125381,18,2.030488
-140.373863,22,2.247289
-43.334901,7,2.304083
-81.594806,15,2.437085
-55.185896,5,2.473942
-42.205092,6,2.518018
-27.729962,6,2.557187
-101.573478,16,2.702965
-87.541697,14,2.834941
-59.95135,11,2.952391
-142.307682,22,3.15211
-83.355048,15,3.281126
-40.825422,6,3.323086
-54.049251,9,3.400541
-86.069085,11,3.494182
-59.290895,9,3.57206
-39.485304,9,3.649564
-80.91866,13,3.787227
-71.476447,10,3.883784
-90.680361,12,3.992715
-83.173482,16,4.161507
-61.598814,7,4.219787
-65.213148,11,4.358418
-49.970784,5,4.400756
-50.186909,7,4.463631
-34.945982,8,4.530313
-58.763349,11,4.633978
-61.617541,6,4.684892
-90.281585,17,4.853861
-141.58488,29,5.150447
-72.6135,14,5.290507
-36.621101,5,5.329844
-59.118524,7,5.391955
-182.73702,35,5.790457
-94.730046,16,5.986711
-56.39263,8,6.086398
-54.54233,5,6.135693
