timestep,action,mapped_action,reward,resource_usage,element_count,budget_proximity,took_timestep,episode
1,2,1,31.188236,0.125,5,0.125,0,0
2,0,-1,-31.188236,0.1,4,0.1,0,0
3,1,0,0.0,0.1,4,0.1,0,0
4,2,1,31.188236,0.125,5,0.125,0,0
5,2,1,-1.2890106,0.15,6,0.15,0,0
6,0,-1,-31.216055,0.125,5,0.125,0,0
7,2,1,31.216055,0.15,6,0.15,0,0
8,0,-1,-0.0,0.15,6,0.15,0,0
9,2,1,25.458664,0.2,8,0.2,0,0
10,1,0,0.0,0.2,8,0.2,0,0
11,0,-1,-0.0,0.2,8,0.2,0,0
12,2,1,-1.3257521,0.225,9,0.225,0,0
13,1,0,0.0,0.225,9,0.225,0,0
14,2,1,29.970001,0.275,11,0.275,0,0
15,0,-1,-0.0,0.275,11,0.275,0,0
16,0,-1,-29.873217,0.25,10,0.25,0,0
17,1,0,0.0,0.25,10,0.25,0,0
18,2,1,29.867935,0.275,11,0.275,0,0
19,0,-1,-29.867935,0.25,10,0.25,0,0
20,1,0,0.0,0.25,10,0.25,0,0
21,2,1,-1.4162133,0.275,11,0.275,0,0
22,0,-1,-31.071688,0.25,10,0.25,0,0
23,0,-1,1.365292,0.225,9,0.225,0,0
24,1,0,0.0,0.225,9,0.225,0,0
25,0,-1,-0.0,0.225,9,0.225,0,0
26,1,0,0.0,0.225,9,0.225,0,0
27,2,1,31.122608,0.25,10,0.25,0,0
28,1,0,0.0,0.25,10,0.25,0,0
29,2,1,28.400396,0.3,12,0.3,0,0
30,2,1,25.322506,0.35,14,0.35,0,0
