#{"t_start": 1742991800.985971, "env_id": "None"}
r,l,t
-1697.025665,80,1.930373
-771.516786,171,3.097566
-1855.497576,144,4.195059
-783.982362,112,4.908262
-1760.705053,88,5.739273
-1841.532779,138,6.748625
86.970293,154,7.792972
114.470275,150,8.927962
-140.508517,165,10.461637
-1808.286906,145,11.691742
-272.713012,121,12.497444
114.365141,38,12.784361
-14.965452,82,13.54578
-1628.646247,52,13.970578
124.020388,46,14.306106
-1673.91684,74,14.938912
114.708592,38,15.178238
-1787.149128,67,15.744415
-172.446195,80,16.336962
-321.193536,69,16.840287
26.230713,63,17.228581
-1650.972261,51,17.54822
-1641.621962,76,18.070331
-1722.929379,42,18.4599
75.759338,91,19.243225
-1705.657761,53,19.768325
139.605598,22,19.937077
-1718.187952,80,20.556851
-1680.84411,36,20.83843
104.301962,29,21.031948
133.564649,68,21.429459
-791.908784,45,21.773241
-1961.85886,41,22.120844
106.837817,46,22.471748
-1697.158717,46,22.868465
126.219286,40,23.169184
146.644381,51,23.513496
-1762.444137,47,23.952587
-289.341806,53,24.462388
-1777.523547,36,24.808129
160.877145,28,25.045946
-1811.064563,43,25.418208
102.049255,31,25.641594
151.06306,44,25.909554
40.914833,35,26.125819
115.440447,91,26.756065
-141.690463,64,27.199677
-1647.434145,68,27.673201
-1754.180723,47,28.069608
-1704.260841,57,28.598146
-1784.482863,64,29.283391
-1638.704422,46,29.72954
-1671.859443,37,30.048226
-1665.826216,97,30.866848
129.743439,36,31.173887
32.100784,70,31.761648
-1628.755788,44,32.082133
106.633106,33,32.330736
-1633.619211,39,32.643413
69.666686,47,32.965725
88.409232,38,33.250828
140.723233,22,33.430619
-1677.056488,41,33.768996
-1637.671909,66,34.407819
-1696.40365,61,35.003695
3.188621,102,35.966188
135.065631,34,36.244621
117.425906,49,36.674898
127.554017,43,37.013586
138.700736,41,37.310353
-159.869208,55,37.740665
-163.493436,30,37.978638
146.346392,22,38.143648
131.523635,31,38.367244
24.077228,41,38.665935
41.547089,38,38.922556
139.566598,32,39.148424
120.020373,47,39.452944
98.50363,27,39.685034
125.302687,50,40.063374
-1655.660794,41,40.506835
-1637.42965,76,43.874258
158.791891,27,44.05016
-1660.69537,66,44.576994
-1798.590009,66,45.119163
-1793.906767,50,45.650352
84.453737,48,46.078215
117.537344,41,46.429246
-1869.670152,72,46.996007
136.965967,26,47.200397
97.335803,25,47.402559
-1746.70579,65,48.099533
-1738.185314,64,48.715315
119.199522,65,49.253138
81.062989,34,49.485952
48.025863,40,49.855235
-1719.792202,63,50.472016
-235.809412,61,50.960971
7.341326,36,51.28443
147.03494,29,51.504498
67.240567,34,51.774486
-1702.739757,44,52.145646
-1642.347089,39,52.532983
151.988278,16,52.679701
95.069777,26,52.916175
-1733.157096,63,53.397237
-45.792713,66,53.977969
-1624.693772,72,54.637403
-192.375595,42,55.007801
-1621.792243,62,55.554086
-1666.006635,32,55.805103
-777.573012,52,56.226013
88.05769,22,56.407222
147.973858,38,56.662158
-764.536737,67,57.152174
-190.328051,59,57.591661
106.244337,42,57.867956
111.483115,20,58.027241
-1637.746107,42,58.341418
-226.843355,80,59.020285
128.928044,67,59.54764
3.414498,36,59.856054
-1706.226333,53,60.295174
-1627.012582,57,60.775742
-1658.811706,29,61.031628
-1626.148231,48,61.432779
10.47492,46,61.810386
-1640.365715,52,62.290076
-1669.381634,42,62.608045
-1629.515598,60,63.026469
-1631.212045,51,63.46869
123.977505,28,63.6766
-207.869915,33,63.93258
-156.095063,36,64.198075
71.581452,41,64.487356
97.853717,77,64.991069
-1708.888303,48,65.363949
86.835132,83,66.041326
-1631.599822,47,66.459364
140.398574,25,66.678529
27.440252,41,67.032221
-1639.719406,42,67.40793
-1691.255577,28,67.668902
102.343407,27,67.908548
23.834308,43,68.205668
24.257042,36,68.494387
-1719.39912,34,68.772095
120.302326,22,68.935995
156.386598,45,69.267196
140.732446,62,69.690456
-162.82858,42,70.026979
-1672.538286,37,70.321689
-14.033778,48,70.686407
36.290884,27,70.899616
-1743.866749,73,71.533105
42.605081,24,71.724697
27.736171,43,72.077149
-25.033336,41,72.453427
22.674226,36,72.769668
2.061741,55,73.29169
113.925756,27,73.483215
-163.842808,50,73.890545
-1671.237267,56,74.338929
-1808.354024,45,74.678005
19.850394,38,74.955517
127.948569,16,75.068175
62.038019,43,75.395039
145.52076,23,75.543436
-1636.024703,53,75.945636
127.428969,63,76.455539
-771.521182,42,76.858068
-1635.299133,30,77.188524
2.668105,28,77.414435
78.599453,39,77.785913
39.312386,46,78.199769
-765.664519,49,78.661162
113.288056,23,78.87818
-1676.566356,35,79.150138
11.519516,35,79.418005
38.522957,42,79.745175
-756.833507,37,80.260227
-165.322314,40,80.509936
136.828873,25,80.666777
127.904401,15,80.746443
97.136999,23,80.89313
