#{"t_start": 1742609890.636574, "env_id": "None"}
r,l,t
148.403366,200,515.51895
-892.698948,200,518.308561
20.631939,51,518.897402
39.142496,200,521.516179
123.832667,200,524.008652
110.915073,75,524.927802
55.105143,200,527.636595
117.599354,200,530.095968
-287.306243,200,532.973373
212.894994,200,535.276417
-51.138396,200,537.950492
-861.843093,200,540.492349
82.972747,200,543.01207
89.658743,200,545.615767
58.558149,200,548.299912
-1047.568475,97,549.562088
-284.83514,200,552.242604
-1232.462365,128,553.988581
-827.266206,81,555.042838
-990.691997,66,555.869209
-75.055037,200,558.521214
-283.162014,92,559.551561
-1045.848625,31,559.988601
-125.867429,172,562.15002
-1258.07862,99,563.554533
115.71923,200,566.192709
37.225135,200,568.682167
82.878362,200,574.758017
196.632656,200,577.175746
53.811637,100,578.512077
57.812598,100,579.761044
-129.909016,200,582.720118
111.01795,199,585.154528
-814.304812,127,586.716742
77.415004,66,587.523661
-69.339562,200,590.560757
77.83492,114,592.044019
207.097743,200,594.652402
-45.576881,200,597.568126
-177.264213,200,600.553937
108.559188,200,603.171365
96.086123,200,605.498182
53.763492,178,607.718093
-342.88526,200,610.428131
-859.687092,200,613.027498
55.671045,200,615.500336
51.473897,139,617.252322
128.675101,81,618.126975
7.20838,200,620.659509
137.16363,200,623.056887
79.387969,54,623.709231
75.903256,91,624.679428
67.987939,200,627.439972
23.974683,200,630.134961
132.490622,42,630.688534
-71.381775,200,633.48228
196.202559,200,635.838747
164.409615,200,652.149775
179.469551,200,653.259596
118.971684,200,654.342328
138.331835,200,655.496661
164.409615,200,656.6109
