#{"t_start": 1746282450.4697258, "env_id": "None"}
r,l,t
1626.471725,200,19.481352
3277.900199,200,26.664211
5419.474146,200,32.503481
6757.881144,200,50.730722
8506.27545,200,62.385383
7133.804635,200,72.486411
8235.338275,200,90.904764
7937.845046,200,100.136801
7940.65181,200,117.202618
6973.662046,200,133.579184
7660.327005,200,143.658349
6620.49044,200,151.178154
8570.03337,200,163.964541
7323.720524,200,179.09007
6884.657258,200,185.310376
8146.082719,200,196.718527
6454.690311,200,203.398297
8286.186127,200,214.619234
6766.35082,200,220.67619
7782.498133,200,230.26019
9807.122353,200,242.11937
8305.906517,200,249.777527
9314.585312,200,263.743407
7229.271141,200,278.967489
8141.13092,200,284.811728
7738.417512,200,305.201726
6819.149209,200,310.759556
7682.6954,200,337.917537
7353.271586,200,343.489727
7187.30039,200,351.57369
