#{"t_start": 1743101511.1713002, "env_id": "None"}
r,l,t
36.182782,17,98.323523
45.325723,39,98.558865
38.30486,31,98.774447
57.841058,29,98.961799
-166.362707,50,99.333924
-1970.053603,73,99.864561
-761.98348,49,100.238317
22.514618,39,100.508682
-0.509491,55,100.859047
-6.433745,28,101.082664
34.446343,41,101.399529
-2863.303491,65,101.946243
-2904.001375,61,102.404924
27.331844,76,102.992085
-167.06983,38,103.298831
24.468296,44,103.664716
41.642692,30,103.889546
55.777096,36,104.136719
-2848.476026,68,104.683749
-25.443093,33,104.912043
-2841.57315,70,105.450989
62.654298,29,105.639954
31.483011,33,105.859125
19.67582,20,105.972678
66.342959,48,106.260958
48.213802,34,106.492392
-31.975765,31,106.713246
43.812315,58,107.126643
13.45596,25,107.288391
24.195494,52,107.641407
46.251323,21,108.162088
59.88509,24,108.264271
49.518744,31,108.385642
55.052246,38,108.525784
10.304056,35,108.678433
