#{"t_start": 1743345730.1702669, "env_id": "None"}
r,l,t
-1881.209043,45,2.013211
-1281.140243,54,2.309151
-1917.506176,58,2.660205
-1439.300766,66,3.07799
-1956.97484,67,3.564291
-2078.534146,62,3.980913
-2034.6386,46,4.286003
-1164.458356,52,4.648975
-1249.225363,34,4.881928
-1909.321544,49,5.23816
-1901.078982,36,5.511827
-1889.281256,54,6.033701
-1336.623786,42,6.438519
-1296.523265,44,6.781428
-1930.395577,69,7.228983
-1949.247495,38,7.55526
-1905.839883,71,8.1782
-1465.552929,65,8.774167
-2034.413321,87,9.580585
-1211.237062,37,9.847357
-1318.263616,66,10.283842
-1360.773573,49,10.667302
-1904.497774,79,11.365212
-1918.633887,27,11.635956
-1860.647245,66,12.169558
-1390.603488,29,12.440125
-1945.601006,47,12.77839
-1887.795867,51,13.221191
-1275.12391,30,13.461936
-1257.838257,58,13.898433
-1928.993943,38,14.235616
-1933.524939,60,14.82641
-1903.070976,56,15.364425
-1261.719756,31,15.647562
-1219.553911,57,16.073414
-1278.945943,34,16.368326
-1810.030081,39,16.748509
-2007.770077,29,16.994187
-1285.983874,28,17.248073
-1221.157311,25,17.473032
-2016.391906,53,17.96592
-1839.632662,28,18.215102
-1255.126281,35,18.466383
-1207.536828,62,18.999675
-1253.601319,39,19.320618
-1967.363222,45,19.729037
-1936.616747,58,20.173328
-1970.299542,64,20.700211
-1909.667618,30,20.96215
-1245.807793,34,21.222321
-1830.189789,56,21.70377
-1285.676525,42,22.062837
-1316.73857,38,22.352898
-1285.385642,43,22.721086
-1881.454074,54,23.210884
-1459.603366,44,23.661436
-1831.21815,25,23.884489
-1387.189013,35,24.208311
-1869.517411,35,24.528785
-1407.585076,31,24.802216
-1936.131058,68,25.454307
-952.98929,30,25.753138
-1930.864182,24,25.965914
-1293.943699,45,26.348917
-949.289757,38,26.662487
-1940.369315,31,26.936968
-1283.992024,38,27.263505
-1341.638397,36,27.564931
-1866.906242,28,27.796202
-1346.00066,31,28.060184
-1017.104142,34,28.344729
-1898.114401,37,28.664817
-1898.566801,56,29.13684
-1399.84827,51,29.582351
-1936.226244,35,29.905236
-1235.39584,41,30.331477
-1287.290079,31,30.648771
-2013.174744,53,31.152252
-1338.507521,27,31.363822
-1148.712677,87,32.232426
-2129.555596,65,32.804063
-2002.019434,77,33.354833
-2043.858997,95,34.202064
-1142.019871,49,34.627589
-1226.356284,39,34.997504
-1843.769891,41,35.40676
-1497.208629,106,36.303957
-1230.109277,69,36.945909
-1052.31018,26,37.221595
-1228.491267,47,37.675649
-2039.453135,54,38.116788
-1916.05256,30,38.396119
-827.858723,31,38.679152
-1876.528796,58,39.173768
-1942.08308,61,39.650732
-1984.682911,32,39.98143
-1932.991613,42,40.398565
-1089.231252,38,40.760954
-1321.213905,26,41.038994
-1908.135193,27,41.276158
-1909.200626,25,41.497818
-1880.239372,51,41.988785
-1317.456145,64,42.681932
-1280.837584,27,42.949349
-1075.129258,22,43.163328
-1349.659344,54,43.737403
-1883.179396,39,44.144305
-1961.281803,26,44.414597
-1915.936504,22,44.64502
-1150.693376,55,48.282687
-1297.600515,71,48.934911
-1252.900104,36,49.336097
-1277.114554,38,49.726165
-1929.643198,40,50.209478
-1482.639049,76,51.02799
-1029.287074,44,51.436191
-1415.275023,102,52.631972
-1121.932425,22,52.836171
-1293.397709,54,53.505949
-1209.318979,52,54.059293
-1370.201105,114,55.320236
-1308.72421,54,56.025436
-1390.496171,36,56.424465
-1939.979135,47,56.928232
-1195.876058,53,57.603046
-1287.145028,63,58.487063
-1955.926607,64,59.454758
-1295.857597,67,60.367447
-1129.677357,106,61.598766
-928.222293,68,62.308143
-1855.046883,94,63.278499
-1420.543053,84,64.360379
-902.908668,82,65.284879
-1270.673561,87,66.353029
-1311.708424,62,67.137864
-1070.791069,50,67.71744
-1131.854198,96,68.813118
-957.835619,46,69.332206
-1860.951674,68,70.252086
-957.914266,45,70.740254
-1281.550736,52,71.399003
-1252.347371,88,72.447376
-1099.336874,64,73.253978
-950.588127,55,73.815326
-1420.80076,113,75.244105
-1824.664551,48,75.944945
-1112.328877,66,76.885314
-898.747106,21,77.155705
-850.580193,34,77.566205
-1164.409438,32,78.070372
-1306.974489,33,78.55342
-873.442497,46,79.112652
-1284.158996,94,80.50284
-926.979315,22,80.832132
-950.502228,33,81.428699
-926.949168,34,82.036493
-862.519123,51,82.830308
-891.260613,32,83.331631
-1209.711011,62,84.528275
-1842.13111,75,86.005469
-867.819353,38,86.740068
-873.527382,49,87.666917
-1126.989565,40,88.662544
-979.344836,57,89.983014
-972.012188,58,91.084167
-891.223652,57,92.266383
-1116.380492,32,93.125083
-931.687152,106,95.540109
-879.641812,26,96.069952
-905.99221,60,97.248592
-891.516274,35,98.176409
-848.490676,38,98.936532
-1919.149983,71,100.747929
-849.487166,36,101.572408
-889.807916,64,103.166106
-812.452393,36,104.038287
-1838.4083,54,105.572879
-961.560221,37,106.495544
-1855.746204,47,107.817372
-866.84496,38,108.701683
-914.654197,47,109.825535
-929.5754,36,110.775349
-832.161062,65,112.286802
-902.275386,24,113.007145
-832.723175,52,114.121771
-1081.647731,42,115.13707
-839.820725,50,116.293027
-920.50338,38,117.117068
-884.774904,39,117.992893
-882.845558,33,118.678893
-1855.977428,42,119.617304
-1231.573058,71,121.283726
-1041.694097,51,122.329629
-1322.659722,44,123.368046
-863.550687,38,124.187218
-1055.237525,18,124.58241
-970.774776,57,125.910427
-952.156815,28,126.406336
-1823.307148,42,127.304952
